time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial,arcPrediction,areaPrediction
1452625026964,1452625031800,101.25926837325096,exploded,AT87GQ24,2.0443941193584534,30,4,0.0975609756097561,59,45,41,4.836,46.29032258064516,52.26326742976067
1452625016214,1452625022634,103.89274341054261,pie,AT87GQ24,4.257387842692652,28,19,0.3114754098360656,39,80,61,6.42,61.0,61.0
1452625095698,1452625099554,302.16018967330456,square,AT87GQ24,-3,45,0,0,85,15,15,3.856,16.301481053086977,16.301481053086995
1452625022635,1452625026961,110.2221258636564,ellipse,AT87GQ24,2.0443941193584534,29,-4,-0.2857142857142857,86,10,14,4.326,14.263586078895987,12.344393718603772
1452625054566,1452625058089,47.143095564097166,square,AT87GQ24,3.4757334309663976,36,11,0.15942028985507245,31,80,69,3.523,67.57194754975842,67.57194754975842
1452625050950,1452625054565,81.08621092513204,pie,AT87GQ24,2.0443941193584534,35,4,0.6666666666666666,94,10,6,3.615,6.0,6.0
1452625035326,1452625038803,66.02568743750453,ellipse,AT87GQ24,2.0443941193584534,32,4,0.07142857142857142,44,60,56,3.477,54.23238496900756,53.15219122056052
1452624996002,1452625000603,195.0310191884637,ellipse,AT87GQ24,1.6438561897747246,24,3,0.05263157894736842,43,60,57,4.601,58.27193243388399,58.66044593942649
1452625000603,1452625006379,294.1554684564471,pie,AT87GQ24,1.6438561897747246,25,3,0.08108108108108109,63,40,37,5.776,37.0,37.0
1452625006382,1452625011592,120.22149126045406,exploded,AT87GQ24,2.357552004618084,26,5,0.058823529411764705,15,90,85,5.21,95.96774193548387,108.3506763787721
1452625011593,1452625016212,49.584743957966566,outerRadius,AT87GQ24,1.0874628412503393,27,2,0.05263157894736842,62,40,38,4.619,42.903225806451616,48.43912591050989
1452624974049,1452624979168,259.26968009211123,ellipse,AT87GQ24,2.357552004618084,20,5,0.0625,20,85,80,5.119,79.58010746657946,80.47921601841614
1452624979169,1452624986459,20.110528199002147,exploded,AT87GQ24,2.357552004618084,21,5,0.125,60,45,40,7.29,45.16129032258065,50.988553590010405
1452624986459,1452624989845,143.17147557623684,ellipse,AT87GQ24,2.8328900141647417,22,-7,-0.14893617021276595,53,40,47,3.386,46.83789639770814,47.441157384824606
1452624989847,1452624996001,130.6128840520978,outerRadius,AT87GQ24,0.16992500144231237,23,-1,-0.0196078431372549,49,50,51,6.154,57.58064516129032,65.01040582726327
1452625099555,1452625103178,35.898061422631145,square,AT87GQ24,1.0874628412503393,46,-2,-0.021739130434782608,8,90,92,3.623,92.50868138792974,92.50868138792974
1452625103181,1452625107749,40.95700342208147,pie,AT87GQ24,1.0874628412503393,47,2,0.15384615384615385,87,15,13,4.568,13.0,13.0
1452625090819,1452625095696,92.72142517380416,exploded,AT87GQ24,3.820178962415188,44,14,0.21212121212121213,34,80,66,4.877,74.51612903225806,84.13111342351716
1452625107752,1452625111591,6.11247505992651,pie,AT87GQ24,2.0443941193584534,48,4,0.25,84,20,16,3.839,16.0,16.0
1452625080570,1452625085066,193.14910079352558,square,AT87GQ24,2.8328900141647417,42,7,0.08974358974358974,22,85,78,4.496,77.6319225164406,77.63192251644058
1452625085068,1452625090817,205.34251039847732,pie,AT87GQ24,3.0223678130284544,43,8,0.0975609756097561,18,90,82,5.749,82.0,82.0
1452625071666,1452625075830,251.89535058103502,ellipse,AT87GQ24,2.8328900141647417,40,7,0.18421052631578946,62,45,38,4.164,38.43645702394638,40.79834999685743
1452625075831,1452625080569,285.1126398984343,exploded,AT87GQ24,1.0874628412503393,41,-2,-0.021739130434782608,8,90,92,4.738,103.87096774193549,117.27367325702393
1452624845156,1452624850613,317.6275050267577,square,AT87GQ24,3.0223678130284544,1,8,0.11940298507462686,33,75,67,5.457,65.66511360572342,65.66511360572343
1452624829873,1452624845155,73.69478224776685,square,AT87GQ24,2.8328900141647417,0,-7,-0.1891891891891892,63,30,37,15.282,34.99667219605392,34.99667219605391
1452624857347,1452624864341,310.29292987659574,outerRadius,AT87GQ24,3.7142455176661224,3,13,0.20967741935483872,38,75,62,6.994,70.0,79.03225806451613
1452624850613,1452624857347,292.22557313740253,ellipse,AT87GQ24,2.0443941193584534,2,4,0.04938271604938271,19,85,81,6.734,85.41668857771694,89.14907401369733
1452624869809,1452624873656,332.6363266725093,square,AT87GQ24,2.8328900141647417,5,7,2.3333333333333335,97,10,3,3.847,2.751549311942735,2.7515493119427252
1452624864341,1452624869809,251.61477743647993,ellipse,AT87GQ24,1.0874628412503393,4,2,0.046511627906976744,57,45,43,5.468,43.90504193428421,45.5516051031708
1452624879714,1452624885058,259.0632142033428,outerRadius,AT87GQ24,3.599912842187128,7,-12,-0.23076923076923078,48,40,52,5.344,58.70967741935484,66.28511966701353
1452624873658,1452624879712,203.23256224393845,ellipse,AT87GQ24,1.0874628412503393,6,2,0.02564102564102564,22,80,78,6.054,73.82683256994265,68.89181574611712
1452624889799,1452624895519,228.06973373517394,outerRadius,AT87GQ24,3.3398500028846247,9,10,0.14285714285714285,30,80,70,5.72,79.03225806451613,89.22996878251821
1452625031802,1452625035326,106.86591192148626,ellipse,AT87GQ24,1.0874628412503393,31,-2,-0.09090909090909091,78,20,22,3.524,24.019270433620864,25.938654537449956
1452625111591,1452625128981,345.69159583188593,exploded,AT87GQ24,2.0443941193584534,49,4,0.0975609756097561,59,45,41,17.39,46.29032258064516,52.26326742976067
1452625067310,1452625071663,97.10886902175844,pie,AT87GQ24,3.7142455176661224,39,13,0.22807017543859648,43,70,57,4.353,57.0,57.0
1452625046745,1452625050949,188.64741411991417,ellipse,AT87GQ24,1.0874628412503393,34,2,0.0273972602739726,27,75,73,4.204,72.15409800185031,70.50164253628033
1452625062634,1452625067308,261.24987579882145,pie,AT87GQ24,2.357552004618084,38,-5,-0.09090909090909091,45,50,55,4.674,55.0,55.0
1452624885059,1452624889798,323.7897493969649,outerRadius,AT87GQ24,3.4757334309663976,8,11,2.75,96,15,4,4.739,4.516129032258065,5.098855359001041
1452624949988,1452624955016,350.5079676490277,pie,AT87GQ24,0.16992500144231237,15,1,0.05263157894736842,81,20,19,5.028,19.0,19.0
1452624934133,1452624949988,126.2903110217303,square,AT87GQ24,2.0443941193584534,14,4,0.36363636363636365,89,15,11,15.855,12.679060906207049,12.679060906207043
1452624913791,1452624923767,59.9792714137584,exploded,AT87GQ24,0.16992500144231237,11,-1,-0.027777777777777776,64,35,36,9.976,40.645161290322584,45.88969823100936
1452624895521,1452624913790,184.3746604397893,pie,AT87GQ24,2.0443941193584534,10,-4,-0.08163265306122448,51,45,49,18.269,49.0,49.0
1452624929759,1452624934132,75.31815849244595,outerRadius,AT87GQ24,0.16992500144231237,13,1,0.05263157894736842,81,20,19,4.373,21.451612903225808,24.219562955254943
1452624923768,1452624929758,308.5334929637611,pie,AT87GQ24,0.16992500144231237,12,-1,-0.03225806451612903,69,30,31,5.99,31.0,31.0
1452625174727,,69.13781650364399,outerRadius,AT87GQ24,2.0443941193584534,59,4,0.05263157894736842,24,80,76,,85.80645161290323,96.87825182101977
1452625170699,1452625174726,32.79317306354642,exploded,AT87GQ24,0.16992500144231237,58,-1,-0.010416666666666666,4,95,96,4.027,108.38709677419355,122.37252861602498
1452624960134,1452624963768,20.97307146526873,outerRadius,AT87GQ24,2.0443941193584534,17,4,0.046511627906976744,14,90,86,3.634,97.09677419354838,109.62539021852237
1452624955016,1452624960133,250.6003785599023,ellipse,AT87GQ24,0.16992500144231237,16,-1,-0.013157894736842105,24,75,76,5.117,73.0430371790604,69.57755002640059
1452624968988,1452624974048,173.3465279918164,square,AT87GQ24,2.8328900141647417,19,-7,-0.08045977011494253,13,80,87,5.06,85.72335431412117,85.72335431412117
1452625147115,1452625155217,58.708141297101974,outerRadius,AT87GQ24,3.9188632372745946,54,15,0.23076923076923078,35,80,65,8.102,73.38709677419355,82.85639958376692
1452625166633,1452625170698,32.507515121251345,outerRadius,AT87GQ24,-3,57,0,0,75,25,25,4.065,28.225806451612904,31.867845993756504
1452625159502,1452625166631,300.84226766601205,outerRadius,AT87GQ24,2.0443941193584534,56,4,0.25,84,20,16,7.129,18.06451612903226,20.395421436004163
1452625133116,1452625137382,64.31101466529071,pie,AT87GQ24,2.357552004618084,51,5,1,95,10,5,4.266,5.0,5.0
1452625128982,1452625133113,117.9223293531686,square,AT87GQ24,1.0874628412503393,50,2,0.022727272727272728,12,90,88,4.131,89.96097469937854,89.96097469937855
1452625142733,1452625147112,209.51291542500257,exploded,AT87GQ24,2.357552004618084,53,5,0.0625,20,85,80,4.379,90.3225806451613,101.97710718002081
1452625137383,1452625142732,314.1889618523419,square,AT87GQ24,2.6147098441152083,52,-6,-0.16666666666666666,64,30,36,5.349,36.48859457333958,36.4885945733396
1452625155219,1452625159499,116.80622924119234,exploded,AT87GQ24,0.16992500144231237,55,1,0.011235955056179775,11,90,89,4.28,100.48387096774194,113.44953173777316
1452625058091,1452625062633,38.59276416711509,square,AT87GQ24,2.8328900141647417,37,-7,-0.21875,68,25,32,4.542,33.87124196182151,33.87124196182151
1452624963770,1452624968986,210.34183200448751,exploded,AT87GQ24,1.6438561897747246,18,3,0.036585365853658534,18,85,82,5.216,92.58064516129032,104.52653485952133
1452625038805,1452625046744,252.1696109790355,exploded,AT87GQ24,2.8328900141647417,33,-7,-0.11290322580645161,38,55,62,7.939,70.0,79.03225806451613
