subjectID,time_start_time_trial,time_end_time_trial,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,log_error,inner_radius,judged_true,ans_percentage_diff,ans_trial,age,browser,browserVersion,comments,degree,monitor,participantCount,postId,screenHeight,screenWidth,sex,windowHeight,windowWidth
1,1441819712174,1441819715775,3,8,239.4100226,92,large,3601,1.087462841,120,-2,-0.02173913043,90,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819703748,1441819712174,2,81,132.4702446,19,small,8426,0.1699250014,30,1,0.05263157895,20,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819720092,1441819723838,5,18,336.2632141,82,large,3746,1.087462841,30,-2,-0.0243902439,80,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819715775,1441819720091,4,11,172.9504565,89,large,4316,0.1699250014,60,1,0.01123595506,90,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819728554,1441819734919,7,64,268.9849544,36,medium,6365,1.64385619,60,-3,-0.08333333333,33,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819723838,1441819728554,6,30,29.14262759,70,large,4716,2.357552005,0,5,0.07142857143,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819738265,1441819743866,9,20,193.2156732,80,large,5601,2.357552005,150,-5,-0.0625,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819828083,1441819831695,31,75,309.8239477,25,small,3612,2.357552005,150,-5,-0.2,20,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819879249,1441819882631,43,84,77.74047034,16,small,3382,0.1699250014,150,-1,-0.0625,15,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819864105,1441819867499,39,38,112.7015098,62,medium,3394,2.044394119,0,4,0.06451612903,66,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819840369,1441819845662,34,57,297.6191572,43,medium,5293,1.64385619,60,-3,-0.06976744186,40,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819895473,1441819898720,47,78,187.7265538,22,small,3247,1.64385619,0,3,0.1363636364,25,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819859522,1441819864105,38,39,223.2139201,61,medium,4583,0.1699250014,30,-1,-0.01639344262,60,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819734919,1441819738265,8,63,225.2911883,37,medium,3346,2.044394119,60,-4,-0.1081081081,33,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819761615,1441819764780,15,35,275.8206462,65,medium,3165,0.1699250014,90,1,0.01538461538,66,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819758112,1441819761615,14,48,229.1543305,52,medium,3503,1.087462841,90,-2,-0.03846153846,50,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819747408,1441819750510,11,95,36.26820669,5,small,3102,-3,150,0,0,5,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819743866,1441819747407,10,96,297.3882628,4,small,3541,0.1699250014,120,1,0.25,5,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819754766,1441819758111,13,53,37.28917287,47,medium,3345,1.64385619,90,3,0.06382978723,50,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819750511,1441819754765,12,44,195.4367711,56,medium,4254,2.044394119,0,4,0.07142857143,60,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819938721,,59,68,29.44848684,32,small,,2.832890014,30,-7,-0.21875,25,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819931424,1441819938720,58,45,229.9205463,55,medium,7296,-3,60,0,0,55,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819767848,1441819771848,17,81,156.5894472,19,small,4000,0.1699250014,120,1,0.05263157895,20,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819764780,1441819767848,16,69,8.252054248,31,small,3068,2.614709844,60,-6,-0.1935483871,25,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
1,1441819775243,1441819779280,19,24,326.2541422,76,large,4037,0.1699250014,0,-1,-0.01315789474,75,30-39,Chrome,45,The icons were very cool looking.  Thanks!,Bachelors,15,86,ied277qi,728,1366,Male,643,1366
