subjectID,time_start_time_trial,time_end_time_trial,workerID,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,chart_type,log_error,log_opposite,judged_true,ans_percentage_diff,ans_trial,thirds_given,ans_trial_opposite,Given_Pie_Chart_1,Correct_Pie_Chart_1,Given_Pie_Chart_2,Correct_Pie_Chart_2,Pie_Chart_Multiple_Choice_1,Multiple_Choice_Pie_Order_1,Given_Donut_Chart_1,Correct_Donut_Chart_1,Given_Donut_Chart_2,Correct_Donut_Chart_2,Donut_Chart_Multiple_Choice_1,Given_Arc_Length_Intro_1,Correct_Arc_Length_Intro_1,Given_Arc_Length_Intro_2,Correct_Arc_Length_Intro_2,Given_Pie_Angle_Intro_1,Correct_Pie_Angle_Intro_1,Given_Pie_Angle_Intro_2,Correct_Pie_Angle_Intro_2,Given_Donut_Angle_Intro_1,Correct_Donut_Angle_Intro_1,Given_Donut_Angle_Intro_2,Correct_Donut_Angle_Intro_2,Given_Area_Intro_1,Correct_Area_Intro_1,Given_Area_Intro_2,Correct_Area_Intro_2,Given_Pie_Chart_3,Correct_Pie_Chart_3,Given_Pie_Chart_4,Correct_Pie_Chart_4,Pie_Chart_Multiplle_Choice_2,Multiple_Choice_Pie_Order_2,Given_Donut_Chart_3,Correct_Donut_Chart_3,Given_Donut_Chart_4,Correct_Donut_Chart_4,Donut_Chart_Multiple_Choice_2,age,browser,browserVersion,degree,monitor,screenWidth,screenHeight,sex,windowHeight,windowWidth
1,1440102662374,1440102666025,76F508,25,24,340.6316664,76,large,3651,Arc-Length Chart,2.044394119,2.044394119,4,0.05263157895,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102666025,1440102670636,76F508,26,69,0.3771426436,31,small,4611,Donut Chart,3.189824559,3.189824559,9,0.2903225806,40,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102670636,1440102674382,76F508,27,49,348.5547247,51,medium,3746,Pie Chart,2.044394119,2.044394119,4,0.07843137255,55,medium,55,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102644208,1440102647393,76F508,20,89,250.377545,11,small,3185,Pie Chart,3.820178962,3.820178962,14,1.272727273,25,small,25,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102647393,1440102650423,76F508,21,84,251.6987615,16,small,3030,Donut Angle Chart,3.820178962,5.758223215,14,0.875,30,small,70,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102752439,1440102756853,76F508,48,64,187.7523382,36,medium,4414,Donut Chart,2.044394119,2.044394119,4,0.1111111111,40,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102756853,1440102760517,76F508,49,44,138.6772452,56,medium,3664,Area Chart,2.614709844,2.614709844,-6,-0.1071428571,50,medium,50,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102743836,1440102749089,76F508,46,30,151.7012103,70,large,5253,Arc-Length Chart,2.357552005,2.357552005,5,0.07142857143,75,large,75,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102655888,1440102659373,76F508,23,86,19.73525464,14,small,3485,Pie Chart,3.475733431,3.475733431,11,0.7857142857,25,small,25,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102737207,1440102740454,76F508,44,94,296.9506623,6,small,3247,Pie Chart,2.044394119,2.044394119,4,0.6666666667,10,small,10,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
