ID	Type	Value	Estimate	Difference	PercentDifference	Confidence	ResponseTime
p46	donut	55	52	3	0.054545455	high	3953
p46	donut	69	70	1	0.014492754	medium	7859
p46	donut	72	73	1	0.013888889	medium	4469
p46	donut	29	27	2	0.06896552	high	2500
p46	donut	64	67	3	0.046875	medium	2766
p46	donut	60	65	5	0.083333336	medium	2890
p46	donut	97	95	2	0.020618556	high	2813
p46	donut	26	26	0	0.0	high	2172
p46	bars	1	1	0	0.0	high	2969
p46	bars	51	50	1	0.019607844	high	1593
p46	bars	56	52	4	0.071428575	medium	3016
p46	bars	60	55	5	0.083333336	medium	3781
p46	bars	16	15	1	0.0625	medium	3610
p46	bars	76	75	1	0.013157895	high	2453
p46	bars	91	90	1	0.010989011	high	3000
p46	bars	9	10	1	0.11111111	high	3812
p46	bars	38	40	2	0.05263158	medium	2953
p46	bars	91	90	1	0.010989011	high	2688
p46	bars	40	45	5	0.125	low	4797
p46	bars	21	15	6	0.2857143	medium	5390
p46	bars	34	25	9	0.2647059	high	2047
p46	bars	88	8	80	0.90909094	medium	5969
p46	bars	21	10	11	0.52380955	medium	8156
p46	bars	15	10	5	0.33333334	medium	2985
p46	bars	79	75	4	0.050632913	medium	2390
p46	bars	90	90	0	0.0	high	3516
p46	bars	84	85	1	0.011904762	medium	2437
p46	bars	41	33	8	0.19512194	medium	2610
p46	piechart	25	25	0	0.0	high	2828
p46	piechart	65	67	2	0.03076923	high	2172
p46	piechart	82	80	2	0.024390243	high	3265
p46	piechart	92	90	2	0.02173913	high	2735
p46	piechart	38	33	5	0.13157895	high	2109
p46	piechart	83	82	1	0.012048192	medium	4578
p46	piechart	24	24	0	0.0	high	1985
p46	piechart	74	74	0	0.0	high	3703
p46	piechart	58	60	2	0.03448276	high	6109
p46	piechart	99	99	0	0.0	high	1625
p46	piechart	56	60	4	0.071428575	high	11047
p46	piechart	72	73	1	0.013888889	high	3094
p46	piechart	90	85	5	0.055555556	high	3125
p46	piechart	31	30	1	0.032258064	high	3047
p46	piechart	99	99	0	0.0	high	2375
p46	piechart	41	42	1	0.024390243	medium	6047
p46	piechart	78	78	0	0.0	high	3796
p46	piechart	45	45	0	0.0	medium	5969
p46	piechart	21	20	1	0.04761905	medium	2891
p46	piechart	34	35	1	0.029411765	medium	5907
p46	squarepie	39	39	0	0.0	high	10766
p46	squarepie	91	91	0	0.0	high	4781
p46	squarepie	53	53	0	0.0	high	4953
p46	squarepie	39	39	0	0.0	high	8438
p46	squarepie	25	25	0	0.0	high	1890
p46	squarepie	46	45	1	0.02173913	high	3672
p46	squarepie	1	1	0	0.0	high	1672
p46	squarepie	65	75	10	0.15384616	high	4250
p46	squarepie	43	43	0	0.0	high	15219
p46	squarepie	72	83	11	0.15277778	medium	9985
p46	squarepie	68	78	10	0.14705883	medium	4312
p46	squarepie	53	53	0	0.0	high	4375
p46	squarepie	42	42	0	0.0	high	4125
p46	squarepie	47	47	0	0.0	high	4406
p46	squarepie	1	1	0	0.0	high	1375
p46	squarepie	31	31	0	0.0	high	4594
p46	squarepie	92	92	0	0.0	high	3797
p46	squarepie	94	94	0	0.0	high	2109
p46	squarepie	42	42	0	0.0	high	5797
p46	squarepie	26	26	0	0.0	high	7328
p47	donut	64	66	2	0.03125	high	20843
p47	donut	41	40	1	0.024390243	medium	21782
p47	donut	17	17	0	0.0	medium	14328
p47	donut	64	66	2	0.03125	high	8984
p47	donut	38	33	5	0.13157895	medium	15844
p47	donut	62	66	4	0.06451613	high	7390
p47	donut	52	53	1	0.01923077	medium	6438
p47	donut	70	70	0	0.0	medium	7047
p47	donut	51	51	0	0.0	medium	5219
p47	donut	38	33	5	0.13157895	medium	4859
p47	donut	62	66	4	0.06451613	high	6703
p47	donut	34	30	4	0.11764706	medium	10516
p47	donut	42	41	1	0.023809524	medium	6593
p47	donut	25	25	0	0.0	high	3282
p47	donut	66	66	0	0.0	high	5453
p47	donut	6	8	2	0.33333334	medium	9469
p47	donut	30	30	0	0.0	medium	7485
p47	donut	60	60	0	0.0	medium	5234
p47	donut	30	30	0	0.0	medium	6484
p47	donut	88	85	3	0.03409091	medium	9860
p47	bars	31	25	6	0.19354838	medium	10000
p47	bars	47	45	2	0.04255319	low	4625
p47	bars	52	50	2	0.03846154	high	3609
p47	bars	38	33	5	0.13157895	medium	3594
p47	bars	16	15	1	0.0625	medium	9375
p47	bars	82	85	3	0.036585364	medium	4953
p47	bars	94	93	1	0.010638298	medium	8438
p47	bars	58	56	2	0.03448276	medium	2953
p47	bars	20	16	4	0.2	medium	4328
p47	bars	64	66	2	0.03125	medium	6453
p47	bars	16	16	0	0.0	medium	3703
p47	bars	83	85	2	0.024096385	medium	3375
p47	bars	52	50	2	0.03846154	high	4625
p47	bars	75	75	0	0.0	medium	5578
p47	bars	80	80	0	0.0	medium	3110
p47	bars	43	41	2	0.046511628	medium	2734
p47	bars	70	70	0	0.0	low	9828
p47	bars	17	15	2	0.11764706	medium	4313
p47	bars	13	12	1	0.07692308	medium	5656
p47	bars	18	15	3	0.16666667	medium	2187
p47	squarepie	32	32	0	0.0	high	8094
p47	squarepie	81	81	0	0.0	high	3953
p47	squarepie	73	73	0	0.0	high	3766
p47	squarepie	27	27	0	0.0	high	5594
p47	squarepie	64	64	0	0.0	high	6828
p47	squarepie	36	36	0	0.0	high	3828
p47	squarepie	50	50	0	0.0	high	3328
p47	squarepie	38	38	0	0.0	high	3937
p47	squarepie	36	36	0	0.0	high	3563
p47	squarepie	65	65	0	0.0	high	7734
p47	squarepie	47	47	0	0.0	high	7125
p47	squarepie	69	69	0	0.0	high	5578
p47	squarepie	73	73	0	0.0	high	2703
p47	squarepie	99	99	0	0.0	high	2563
p47	squarepie	48	48	0	0.0	high	3656
p47	squarepie	61	61	0	0.0	high	3344
p47	squarepie	34	34	0	0.0	high	2656
p47	squarepie	70	70	0	0.0	high	2313
p47	squarepie	10	10	0	0.0	high	1750
p47	squarepie	58	58	0	0.0	high	4171
p47	piechart	18	16	2	0.11111111	medium	17703
p47	piechart	1	2	1	1.0	medium	7235
p47	piechart	48	46	2	0.041666668	medium	4265
p47	piechart	86	83	3	0.034883723	medium	3735
p47	piechart	22	21	1	0.045454547	medium	10234
p47	piechart	25	25	0	0.0	medium	4844
p47	piechart	1	2	1	1.0	medium	3047
p47	piechart	54	56	2	0.037037037	medium	2671
p47	piechart	44	43	1	0.022727273	medium	3079
p47	piechart	66	66	0	0.0	medium	3046
p47	piechart	59	60	1	0.016949153	medium	3500
p47	piechart	99	98	1	0.01010101	medium	2438
p47	piechart	13	10	3	0.23076923	medium	16672
p47	piechart	1	2	1	1.0	medium	1765
p47	piechart	36	33	3	0.083333336	medium	4344
p47	piechart	14	16	2	0.14285715	medium	3500
p47	piechart	42	36	6	0.14285715	medium	7141
p47	piechart	83	82	1	0.012048192	medium	8875
p47	piechart	59	60	1	0.016949153	medium	4390
p47	piechart	65	66	1	0.015384615	medium	7157
p48	piechart	51	32	19	0.37254903	high	83941
p48	piechart	55	35	20	0.36363637	high	20890
p48	piechart	36	20	16	0.44444445	high	8142
p48	piechart	16	10	6	0.375	high	6760
p48	piechart	49	28	21	0.42857143	high	9834
p48	piechart	72	72	0	0.0	high	42721
p48	piechart	98	97	1	0.010204081	high	18777
p48	piechart	41	35	6	0.14634146	high	22142
p48	piechart	46	40	6	0.13043478	high	6389
p48	piechart	68	70	2	0.029411765	high	39717
p48	piechart	61	65	4	0.06557377	high	5428
p48	piechart	46	45	1	0.02173913	high	12218
p48	piechart	57	55	2	0.03508772	high	6839
p48	piechart	5	5	0	0.0	high	12799
p48	piechart	71	72	1	0.014084507	high	14010
p48	piechart	3	5	2	0.6666667	high	7541
p48	piechart	56	55	1	0.017857144	high	7300
p48	piechart	52	53	1	0.01923077	high	6670
p48	piechart	41	25	16	0.3902439	high	8272
p48	piechart	99	98	1	0.01010101	high	10014
p48	donut	87	80	7	0.08045977	medium	19157
p48	donut	81	80	1	0.012345679	medium	12378
p48	donut	47	47	0	0.0	medium	14321
p48	donut	40	38	2	0.05	medium	15953
p48	donut	65	60	5	0.07692308	medium	4096
p48	donut	48	48	0	0.0	medium	7150
p48	donut	1	3	2	2.0	medium	9984
p48	donut	19	15	4	0.21052632	medium	12208
p48	donut	55	55	0	0.0	medium	3395
p48	donut	52	52	0	0.0	medium	10064
p48	donut	63	58	5	0.07936508	medium	12819
p48	donut	14	13	1	0.071428575	medium	14340
p48	donut	95	94	1	0.010526316	medium	10055
p48	donut	20	20	0	0.0	medium	10465
p48	donut	55	55	0	0.0	medium	6589
p48	donut	70	71	1	0.014285714	medium	9684
p48	donut	44	45	1	0.022727273	medium	9634
p48	donut	53	52	1	0.018867925	medium	10135
p48	donut	96	96	0	0.0	medium	8402
p48	donut	87	90	3	0.03448276	medium	10585
p48	squarepie	45	45	0	0.0	medium	8932
p48	squarepie	99	95	4	0.04040404	medium	14481
p48	squarepie	50	50	0	0.0	medium	4467
p48	squarepie	37	35	2	0.054054055	medium	16654
p48	squarepie	90	90	0	0.0	medium	18606
p48	squarepie	50	50	0	0.0	medium	5879
p48	squarepie	11	15	4	0.36363637	medium	14961
p48	squarepie	62	70	8	0.12903225	medium	8973
p48	squarepie	48	45	3	0.0625	medium	47559
p48	squarepie	29	20	9	0.31034482	medium	24495
p48	squarepie	22	30	8	0.36363637	medium	10906
p48	squarepie	65	70	5	0.07692308	medium	7821
p48	squarepie	99	95	4	0.04040404	medium	4036
p48	squarepie	25	25	0	0.0	medium	33598
p48	squarepie	21	21	0	0.0	medium	3235
p48	squarepie	9	9	0	0.0	medium	3555
p48	squarepie	20	20	0	0.0	medium	4646
p48	squarepie	42	42	0	0.0	medium	9785
p48	squarepie	60	60	0	0.0	medium	7220
p48	squarepie	35	45	10	0.2857143	medium	28241
p48	bars	47	45	2	0.04255319	medium	11086
p48	bars	44	40	4	0.09090909	medium	3915
p48	bars	33	30	3	0.09090909	medium	12638
p48	bars	62	70	8	0.12903225	medium	7972
p48	bars	55	55	0	0.0	medium	4036
p48	bars	20	25	5	0.25	medium	2653
p48	bars	51	50	1	0.019607844	medium	4817
p48	bars	1	3	2	2.0	medium	8693
p48	bars	99	96	3	0.030303031	medium	9183
p48	bars	1	3	2	2.0	medium	3555
p48	bars	54	55	1	0.018518519	medium	3065
p48	bars	42	45	3	0.071428575	medium	11937
p48	bars	99	96	3	0.030303031	medium	4146
p48	bars	44	46	2	0.045454547	medium	6339
p48	bars	17	25	8	0.47058824	medium	2473
p48	bars	80	75	5	0.0625	medium	2584
p48	bars	29	25	4	0.13793103	medium	5879
p48	bars	85	75	10	0.11764706	medium	3044
p48	bars	25	30	5	0.2	medium	11146
p48	bars	22	25	3	0.13636364	medium	4997
